CustomerID,Sex,Age,Annual_Income,Spending_Score,Purchase_Frequency
169,Male,46,136.2,61,36
170,Female,43,141.3,20,16
171,Female,35,147.3,74,18
172,Male,49,132.3,10,13
173,Male,39,38.5,88,37
174,Female,55,21.2,34,27
175,Female,34,93.2,61,34
176,Female,40,138.2,92,11
177,Male,41,38.9,27,1
178,Male,67,16.0,40,13
179,Male,25,123.7,65,30
180,Male,58,25.4,33,5
181,Male,23,70.9,68,18
182,Male,22,106.6,71,14
183,Female,61,47.0,9,13
184,Male,46,26.3,16,32
185,Male,45,119.0,5,7
186,Male,28,100.1,98,8
187,Female,18,148.4,23,7
188,Male,60,61.5,43,49
189,Male,36,23.3,89,16
190,Female,26,114.1,57,43
191,Male,44,85.4,51,31
192,Male,51,43.8,13,27
193,Male,61,120.5,24,33
194,Male,21,42.5,11,29
195,Male,53,50.2,52,8
196,Female,35,27.5,17,33
197,Female,32,68.9,37,41
198,Female,68,71.6,13,19
199,Male,30,84.5,62,21
200,Male,36,110.7,91,41
201,Male,66,137.3,84,21
202,Female,23,33.6,97,25
203,Male,65,22.3,96,42
204,Male,29,17.5,8,23
205,Female,68,34.4,56,11
206,Male,54,103.8,93,33
207,Female,34,113.2,83,20
208,Female,40,121.2,70,25
209,Female,43,47.9,44,26
210,Male,46,56.3,60,40
211,Male,50,80.2,41,12
212,Male,44,23.5,21,32
213,Male,42,97.5,86,33
214,Male,27,147.8,42,10
215,Male,64,63.7,74,4
216,Male,40,116.6,74,15
217,Female,38,82.5,29,6
218,Male,38,32.3,80,27
219,Female,60,93.6,65,5
220,Male,30,55.5,17,5
221,Male,54,19.6,30,18
222,Male,50,100.7,26,28
223,Female,41,131.0,53,35
224,Female,61,61.5,19,22
225,Female,28,67.7,53,34
226,Female,34,135.3,85,4
227,Male,21,124.8,17,18
228,Female,64,111.5,46,41
229,Male,42,48.6,85,26
230,Male,47,137.9,53,42
231,Female,26,35.8,64,22
232,Female,38,99.6,45,47
233,Female,37,18.9,49,33
234,Female,36,101.9,19,43
235,Female,36,52.4,71,14
236,Female,29,75.7,81,31
237,Female,54,61.6,65,10
238,Female,59,38.3,37,24
239,Male,34,99.0,70,21
240,Female,54,134.1,26,48
241,Female,65,144.5,2,8
242,Male,56,41.0,59,32
243,Female,45,111.8,96,31
244,Male,58,104.7,5,34
245,Male,52,61.4,37,23
246,Female,64,17.6,31,25
247,Male,65,108.1,76,7
248,Male,35,142.6,99,19
249,Male,31,100.3,94,7
250,Male,52,73.8,48,47
251,Female,61,85.9,6,8
252,Male,58,41.9,15,14
253,Female,24,116.3,15,1
254,Male,58,115.8,61,13
255,Male,30,34.6,16,3
256,Male,35,133.5,20,28
257,Male,54,51.3,77,38
258,Female,30,147.6,44,15
259,Female,53,66.7,42,36
260,Male,48,39.0,46,3
261,Male,19,62.5,95,4
262,Female,33,74.4,34,5
263,Male,26,24.4,64,26
264,Male,26,93.1,29,25
265,Male,55,95.7,3,10
266,Female,28,114.8,9,8
267,Female,39,18.9,75,12
268,Female,50,88.1,75,3
269,Male,53,22.1,25,27
270,Male,62,109.7,86,23
271,Female,40,22.5,42,40
272,Female,62,138.1,46,33
273,Female,62,109.8,73,14
274,Female,51,83.5,84,23
275,Male,26,74.6,59,31
276,Female,41,32.6,21,13
277,Male,25,54.3,74,12
278,Female,24,132.3,22,35
279,Male,53,137.1,29,18
280,Female,35,15.1,63,21
281,Female,20,95.2,73,45
282,Female,45,112.1,61,47
283,Female,23,98.5,64,42
284,Male,61,26.0,69,1
285,Female,61,44.4,40,38
286,Male,38,48.8,75,41
287,Male,45,127.3,1,42
288,Male,57,77.5,65,47
289,Male,18,80.7,62,9
290,Female,53,141.2,54,23
291,Male,38,101.0,60,14
292,Male,60,136.3,46,11
293,Male,52,76.6,5,7
294,Female,30,35.2,22,31
295,Female,66,140.5,90,24
296,Female,27,76.9,53,26
297,Female,61,39.5,70,30
298,Male,64,55.8,32,34
299,Male,27,21.9,11,46
300,Female,63,78.2,10,38
301,Male,30,130.2,39,5
302,Male,54,141.0,98,5
303,Male,55,140.9,31,19
304,Female,41,31.9,12,38
305,Female,19,66.6,80,28
306,Male,39,18.8,38,26
307,Female,34,130.4,67,42
308,Female,53,63.4,66,23
309,Female,31,100.2,52,46
310,Female,27,111.5,5,49
311,Female,52,73.0,11,30
312,Male,42,56.4,25,3
313,Female,20,144.9,35,28
314,Male,64,145.2,35,33
315,Male,55,54.1,22,42
316,Female,34,79.7,37,3
317,Male,29,146.3,86,5
318,Male,69,15.7,55,19
319,Male,41,70.7,75,42
320,Female,46,28.6,96,48
321,Female,60,83.7,99,1
322,Male,42,18.3,95,38
323,Female,53,69.9,72,9
324,Female,43,44.8,64,5
325,Female,55,87.0,20,46
326,Female,18,149.5,98,42
327,Male,37,123.1,4,34
328,Male,45,129.2,18,37
329,Female,33,100.8,51,33
330,Female,64,20.6,68,25
331,Male,34,42.9,20,42
332,Male,57,139.9,9,29
333,Female,45,64.4,80,25
334,Male,29,29.0,26,9
335,Female,44,109.8,25,3
336,Female,59,55.4,68,15
337,Male,64,51.3,41,4
338,Male,47,149.7,59,45
339,Female,58,130.8,45,38
340,Female,51,70.1,41,20
341,Male,54,147.3,38,49
342,Female,23,102.8,19,23
343,Male,24,115.2,14,37
344,Female,49,19.3,21,47
345,Male,49,31.4,15,8
346,Male,42,100.5,3,37
347,Male,50,136.4,37,45
348,Female,24,99.2,46,33
349,Female,69,33.1,16,33
350,Male,29,30.6,14,7
351,Female,33,129.0,9,22
352,Male,33,33.8,7,5
353,Male,60,85.2,14,46
354,Female,53,20.0,6,15
355,Female,30,25.9,85,21
356,Male,24,105.8,15,25
357,Female,53,108.0,52,17
358,Female,64,61.1,72,7
359,Male,68,44.1,34,19
360,Male,26,124.9,1,7
361,Female,49,44.3,96,40
362,Male,28,88.2,69,45
363,Male,25,145.7,94,24
364,Female,50,35.0,86,11
365,Male,40,142.0,20,41
366,Male,42,39.7,80,1
367,Female,25,91.6,7,32
368,Female,62,65.9,7,40
369,Male,39,145.3,50,44
370,Male,21,51.9,2,2
371,Female,57,69.0,47,15
372,Female,20,147.7,14,21
373,Female,46,87.4,31,24
374,Female,58,82.9,50,17
375,Male,46,49.8,61,47
376,Female,51,109.7,41,9
377,Female,51,16.9,14,35
378,Male,45,21.7,5,20
379,Female,30,95.9,75,19
380,Male,32,61.1,5,18
381,Female,40,143.7,64,20
382,Female,61,136.9,29,30
383,Female,43,111.4,75,40
384,Male,21,125.4,5,1
385,Male,43,105.1,96,24
386,Female,57,32.0,36,24
387,Male,26,118.3,79,47
388,Male,22,43.4,19,19
389,Male,49,58.7,64,30
390,Male,37,125.6,22,26
391,Male,67,87.4,34,42
392,Male,28,131.1,56,44
393,Female,32,43.8,17,38
394,Female,49,97.1,76,29
395,Male,45,26.3,89,13
396,Female,39,101.8,56,4
397,Female,58,117.9,17,45
398,Female,34,94.0,74,17
399,Female,43,50.9,92,33
400,Male,61,19.2,82,5
401,Female,24,31.1,18,28
402,Female,59,99.0,45,24
403,Male,43,141.1,96,17
404,Male,42,42.9,78,39
405,Female,27,114.2,56,48
406,Female,62,132.0,80,40
407,Female,36,85.3,50,44
408,Female,28,105.4,58,46
409,Female,30,125.0,18,11
410,Female,25,50.2,80,12
411,Male,57,55.1,81,13
412,Female,21,15.1,7,8
413,Female,64,145.0,76,1
414,Male,48,138.9,98,9
415,Male,45,118.2,10,28
416,Male,28,25.7,69,2
417,Male,60,75.4,85,14
418,Female,18,28.8,3,13
419,Female,66,17.1,83,48
420,Female,64,98.2,44,2
421,Female,69,144.7,99,4
422,Female,55,136.9,70,12
423,Female,41,109.1,14,48
424,Male,64,28.0,4,10
425,Female,48,52.0,18,3
426,Male,58,58.2,93,4
427,Male,63,118.0,99,6
428,Female,67,123.3,52,23
429,Male,43,67.0,38,5
430,Female,66,71.4,80,3
431,Male,67,21.0,20,10
432,Female,22,54.0,88,43
433,Male,37,75.9,99,19
434,Female,69,30.8,44,14
435,Female,58,76.2,51,21
436,Female,28,130.2,19,43
437,Female,50,93.5,68,28
438,Female,67,25.7,97,21
439,Male,55,40.9,66,36
440,Male,44,79.1,13,24
441,Male,51,63.8,62,38
442,Female,32,63.4,61,17
443,Male,49,86.5,30,22
444,Female,38,93.9,98,19
445,Female,63,122.6,30,45
446,Male,22,61.0,51,10
447,Male,23,123.7,88,11
448,Female,55,60.7,48,38
449,Male,39,22.5,33,2
450,Female,35,89.8,74,33
451,Female,31,94.4,82,43
452,Female,27,141.2,19,31
453,Female,63,113.0,71,48
454,Female,30,138.9,57,35
455,Male,48,137.6,19,37
456,Male,47,96.6,88,47
457,Female,20,86.2,79,47
458,Female,47,90.3,41,36
459,Male,23,147.1,42,23
460,Male,46,119.4,87,36
461,Female,25,29.3,52,40
462,Male,61,120.1,4,39
463,Female,62,38.0,4,26
464,Male,60,75.4,5,25
465,Female,61,43.4,41,17
466,Male,50,108.1,87,15
467,Female,34,133.4,61,37
468,Male,65,54.2,75,45
469,Male,28,26.1,55,4
470,Female,30,55.3,75,22
471,Male,67,105.8,13,17
472,Female,28,59.4,14,22
473,Male,48,52.5,60,17
474,Female,45,39.9,72,14
475,Male,61,82.2,25,14
476,Female,23,52.3,82,17
477,Male,58,113.7,44,8
478,Female,33,25.3,82,34
479,Male,21,104.6,10,26
480,Female,52,47.1,71,45
481,Female,65,81.1,50,30
482,Female,43,53.6,44,22
483,Male,29,112.6,14,16
484,Female,28,142.6,15,30
485,Male,54,138.8,16,16
486,Female,42,93.8,2,38
487,Male,35,77.5,30,24
488,Female,36,125.5,30,36
489,Male,40,107.2,82,35
490,Male,55,39.8,31,6
491,Female,35,125.8,77,4
492,Male,43,72.9,20,18
493,Male,23,40.5,49,6
494,Female,21,53.0,35,26
495,Male,61,51.1,23,37
496,Male,68,85.1,97,27
497,Male,46,46.6,99,41
498,Female,51,31.7,61,11
499,Male,34,31.7,84,38
500,Female,60,93.7,55,16
501,Male,60,114.2,67,19
502,Male,33,58.4,8,43
503,Male,19,19.7,40,15
504,Female,51,32.2,59,26
505,Male,25,138.5,32,41
506,Male,30,81.6,93,31
507,Female,59,76.2,7,19
508,Male,25,20.1,2,24
509,Female,47,113.4,85,9
510,Female,49,86.3,6,23
511,Male,53,42.3,92,4
512,Female,64,29.9,36,10
513,Male,47,66.8,32,9
514,Female,18,128.0,45,19
515,Female,60,131.8,42,15
516,Male,56,96.4,53,34
517,Female,34,113.2,9,42
518,Female,37,30.5,75,19
519,Female,41,94.4,87,49
520,Female,67,105.0,75,21
521,Female,39,42.1,49,34
522,Male,46,133.8,2,17
523,Female,39,41.3,67,18
524,Male,61,57.3,11,17
525,Female,26,98.8,50,2
526,Male,54,101.2,35,1
527,Male,27,109.4,15,43
528,Female,53,30.1,75,10
529,Female,54,129.7,31,37
530,Female,45,86.9,92,48
531,Male,45,78.6,62,5
532,Female,59,147.4,28,12
533,Male,60,115.0,96,36
534,Male,38,30.9,25,31
535,Male,41,117.1,84,38
536,Female,59,27.9,92,9
537,Female,57,18.7,25,44
538,Male,19,69.5,75,26
539,Male,25,149.1,83,15
540,Female,65,38.6,92,16
541,Male,44,105.8,1,13
542,Female,39,38.4,59,25
543,Male,54,112.8,69,30
544,Female,44,83.2,74,7
545,Male,46,106.8,42,4
546,Female,20,42.4,34,43
547,Male,61,115.7,66,40
548,Female,30,149.4,18,38
549,Female,62,104.9,77,30
550,Male,27,81.6,5,10
551,Male,53,139.6,20,30
552,Female,26,17.1,66,39
553,Male,44,113.5,75,7
554,Female,51,135.0,62,36
555,Male,68,23.3,94,35
556,Female,18,75.8,96,24
557,Female,49,42.6,32,39
558,Female,42,91.5,58,36
559,Female,46,102.7,50,45
560,Female,24,55.9,38,20
561,Female,66,77.1,55,49
562,Male,20,52.7,28,32
563,Male,37,64.9,74,39
564,Male,37,36.5,86,49
565,Female,47,134.6,81,26
566,Female,52,16.4,22,26
567,Female,52,134.1,43,36
568,Female,66,92.2,83,43
569,Male,56,59.8,81,35
570,Male,44,112.6,88,43
571,Female,43,83.5,36,35
572,Male,31,82.4,96,12
573,Male,34,29.9,52,33
574,Female,35,67.6,36,36
575,Male,62,47.5,28,14
576,Female,69,17.1,78,33
577,Male,46,63.6,58,46
578,Female,37,27.1,36,45
579,Female,44,49.7,70,45
580,Female,35,27.5,9,24
581,Female,21,28.6,21,15
582,Male,18,41.9,64,31
583,Female,67,150.0,76,17
584,Female,18,15.3,61,12
585,Female,43,101.2,94,22
586,Male,62,34.1,95,23
587,Female,37,139.3,40,26
588,Male,69,27.6,56,14
589,Female,40,143.9,4,12
590,Male,27,97.5,31,4
591,Male,28,15.2,27,46
592,Female,58,135.7,58,13
593,Male,58,85.4,25,18
594,Female,22,50.5,69,43
595,Female,18,118.6,70,28
596,Female,34,140.1,5,38
597,Male,39,80.3,91,41
598,Male,51,57.6,8,44
599,Female,62,121.5,9,19
600,Female,58,107.0,15,46
601,Male,46,135.0,7,47
602,Female,21,108.5,96,43
603,Female,22,47.9,72,38
604,Female,28,140.8,15,46
605,Male,68,29.2,37,3
606,Male,38,51.2,83,19
607,Male,52,85.2,39,20
608,Female,29,91.4,6,25
609,Female,43,17.1,83,11
610,Female,68,120.4,57,17
611,Male,36,63.8,92,49
612,Female,62,69.9,81,35
613,Female,24,124.3,19,14
614,Female,64,66.2,63,39
615,Female,24,21.4,31,19
616,Male,43,38.8,75,3
617,Male,57,144.0,79,34
618,Female,22,24.5,10,49
619,Male,38,62.9,87,41
620,Male,31,82.9,67,22
621,Female,21,81.6,62,38
622,Female,40,15.5,3,27
623,Male,59,82.7,18,21
624,Female,37,66.8,25,41
625,Male,32,146.2,20,31
626,Female,67,36.5,58,27
627,Male,69,62.8,93,37
628,Female,62,71.6,86,2
629,Male,46,67.7,50,47
630,Male,25,104.9,79,9
631,Male,58,44.1,10,19
632,Female,65,44.8,21,42
633,Male,36,113.4,29,36
634,Male,65,82.5,96,10
635,Female,56,71.0,10,40
636,Female,63,37.8,13,45
637,Male,45,40.3,47,39
638,Male,63,16.4,23,7
639,Female,44,27.3,50,4
640,Female,21,90.2,87,15
641,Female,32,135.4,95,12
642,Female,52,53.8,4,48
643,Female,54,59.2,67,6
644,Male,18,30.6,85,9
645,Female,20,67.5,53,35
646,Male,64,20.0,2,8
647,Male,41,138.9,68,7
648,Male,44,105.9,65,4
649,Female,57,148.8,79,13
650,Male,53,134.2,57,19
651,Male,51,78.9,97,7
652,Female,46,85.2,70,10
653,Male,41,40.7,7,25
654,Male,41,77.4,19,44
655,Female,59,136.9,44,35
656,Male,21,21.9,63,25
657,Male,20,131.6,65,29
658,Male,51,61.0,39,12
659,Female,66,136.4,83,47
660,Female,40,142.0,26,40
661,Female,69,105.6,44,12
662,Male,40,104.7,12,6
663,Male,62,76.1,22,10
664,Female,22,127.8,77,2
665,Male,48,144.8,92,45
666,Male,58,119.6,14,25
667,Female,23,99.0,86,7
668,Female,54,96.9,30,40
669,Male,27,129.7,44,23
670,Male,57,88.1,84,48
671,Male,24,123.5,91,11
672,Female,56,83.7,38,36
673,Female,55,23.4,59,49
674,Female,38,66.8,42,48
675,Female,37,75.0,52,23
676,Male,20,34.1,63,43
677,Female,68,28.8,61,7
678,Female,39,87.3,34,27
679,Female,64,26.5,39,13
680,Female,21,55.9,41,17
681,Female,45,115.5,37,32
682,Male,29,145.2,65,26
683,Male,55,111.9,79,22
684,Female,68,149.0,32,13
685,Male,53,109.3,8,12
686,Female,64,54.7,97,7
687,Female,58,105.7,18,1
688,Male,22,109.8,45,33
689,Male,30,65.2,93,14
690,Female,40,17.4,96,47
691,Female,67,109.9,33,43
692,Female,47,17.9,5,41
693,Male,54,100.2,82,17
694,Female,42,37.1,74,4
695,Female,65,91.4,36,39
696,Female,44,83.0,97,1
697,Male,68,16.8,23,41
698,Female,31,64.0,40,45
699,Female,65,96.1,5,24
700,Male,64,129.6,34,34
701,Female,53,135.0,24,34
702,Female,56,80.3,17,24
703,Male,33,113.3,95,15
704,Female,39,57.7,71,17
705,Male,38,61.2,81,13
706,Male,38,41.3,92,7
707,Female,25,90.9,22,9
708,Female,66,57.5,15,44
709,Female,33,26.4,15,35
710,Female,48,107.5,25,23
711,Male,59,110.5,53,47
712,Female,27,63.6,21,39
713,Male,49,25.4,66,23
714,Female,51,72.6,91,26
715,Female,26,74.7,32,1
716,Female,34,105.3,21,14
717,Male,28,57.6,68,32
718,Female,49,107.2,44,48
719,Female,27,132.7,83,10
720,Female,39,47.1,66,1
721,Female,34,147.2,90,5
722,Male,21,67.2,98,3
723,Female,65,51.1,14,49
724,Male,69,71.9,15,27
725,Male,64,27.7,20,22
726,Male,42,32.0,34,18
727,Male,38,70.9,36,16
728,Male,54,117.9,83,2
729,Male,55,136.5,9,47
730,Female,66,104.8,71,13
731,Male,18,29.2,30,45
732,Male,42,105.7,77,16
733,Male,68,100.8,91,8
734,Female,53,123.8,63,43
735,Female,34,126.4,35,8
736,Male,58,132.2,13,10
737,Female,41,70.9,79,33
738,Male,19,109.2,46,31
739,Male,57,51.2,56,12
740,Female,32,149.9,9,9
741,Male,49,38.7,87,37
742,Female,56,16.4,36,9
743,Female,23,35.1,3,48
744,Male,18,119.7,98,18
745,Male,64,75.3,19,30
746,Female,40,75.4,28,32
747,Male,56,143.9,23,40
748,Male,34,139.2,7,23
749,Male,51,57.0,76,11
750,Female,58,43.2,14,20
751,Female,46,129.5,46,19
752,Male,26,137.3,15,36
753,Female,30,88.1,67,26
754,Female,23,100.0,15,10
755,Female,23,49.7,51,24
756,Female,37,123.1,88,13
757,Female,69,100.3,8,46
758,Male,20,83.0,69,34
759,Male,34,23.1,62,29
760,Male,66,138.7,51,36
761,Female,29,98.1,63,7
762,Female,65,41.0,68,30
763,Male,64,96.9,78,17
764,Female,62,106.5,16,48
765,Male,18,86.0,84,13
766,Male,34,111.9,24,24
767,Male,20,93.5,6,31
768,Female,43,142.9,57,27
769,Female,32,22.2,31,21
770,Male,53,29.3,6,44
771,Male,49,38.4,99,1
772,Male,49,108.2,79,15
773,Male,21,102.2,29,3
774,Female,35,135.4,67,6
775,Female,66,113.9,75,14
776,Male,36,83.6,3,38
777,Male,60,148.9,28,33
778,Female,69,50.9,74,38
779,Female,52,127.5,97,8
780,Male,57,72.6,48,26
781,Male,31,102.6,80,15
782,Male,50,113.2,10,14
783,Female,31,100.6,33,48
784,Female,51,34.0,67,20
785,Female,21,74.8,69,48
786,Male,41,90.8,12,19
787,Male,46,129.6,57,33
788,Female,36,74.9,44,36
789,Female,23,139.0,13,24
790,Male,50,74.5,24,10
791,Female,66,89.1,44,34
792,Female,57,122.5,57,36
793,Male,36,93.7,96,47
794,Female,18,144.6,16,36
795,Male,22,104.1,96,16
796,Male,44,85.6,21,15
797,Male,33,18.2,76,18
798,Male,23,70.9,51,7
799,Male,57,55.4,21,47
800,Male,30,116.0,60,22
801,Male,65,43.1,51,32
802,Female,52,42.7,21,43
803,Male,36,40.6,6,19
804,Male,29,32.0,73,40
805,Female,33,57.0,65,1
806,Female,60,134.6,76,35
807,Female,27,119.6,58,5
808,Male,42,114.3,78,12
809,Female,37,122.6,6,12
810,Male,48,51.4,65,21
811,Male,21,134.8,86,19
812,Male,61,33.5,34,9
813,Male,40,60.4,56,43
814,Female,19,94.2,75,49
815,Female,39,28.9,3,48
816,Male,68,113.6,42,36
817,Male,54,67.3,62,42
818,Male,25,120.9,6,47
819,Female,24,81.5,6,32
820,Male,31,39.4,63,35
821,Male,20,114.2,20,31
822,Female,67,49.0,21,32
823,Female,33,81.3,2,37
824,Male,36,25.2,90,32
825,Female,68,98.4,95,43
826,Female,35,104.9,90,37
827,Male,69,66.1,56,39
828,Female,33,143.8,96,38
829,Male,25,133.0,10,30
830,Female,50,110.6,87,32
831,Male,66,111.3,70,45
832,Male,29,49.1,23,2
833,Male,28,103.7,92,11
834,Female,22,41.8,30,20
835,Male,44,34.4,78,37
836,Female,29,149.9,37,9
837,Male,34,99.0,55,38
838,Male,23,73.2,96,49
839,Female,50,53.9,49,19
840,Male,22,96.5,34,40
841,Male,45,21.7,44,7
842,Female,31,27.8,22,5
843,Male,22,19.4,31,47
844,Male,50,82.4,7,42
845,Male,67,96.1,21,24
846,Male,65,23.4,16,48
847,Female,58,112.4,20,41
848,Female,36,46.1,43,7
849,Male,39,107.5,44,11
850,Female,22,147.6,47,9
851,Male,19,108.3,19,49
852,Female,47,134.2,48,30
853,Male,64,143.0,96,41
854,Male,56,80.7,79,3
855,Male,21,109.8,69,22
856,Male,50,130.0,11,40
857,Male,30,63.1,79,20
858,Male,37,50.3,29,32
859,Female,24,142.8,45,48
860,Male,32,113.1,68,7
861,Female,40,44.7,36,7
862,Male,31,75.6,48,20
863,Female,40,122.5,87,25
864,Female,36,88.9,15,45
865,Female,46,102.7,44,35
866,Male,37,116.8,67,44
867,Male,46,99.0,96,24
868,Female,41,87.9,74,40
869,Male,35,116.2,40,13
870,Female,27,113.2,86,48
871,Male,58,100.0,14,39
872,Female,25,63.6,63,4
873,Female,43,69.8,81,12
874,Male,46,146.0,85,17
875,Female,27,30.2,51,1
876,Male,34,51.2,79,17
877,Female,19,81.5,58,2
878,Female,23,128.0,15,6
879,Male,22,37.1,65,44
880,Male,45,52.4,88,11
881,Male,58,23.9,55,43
882,Female,22,110.3,76,18
883,Male,35,47.2,10,40
884,Female,43,67.5,42,25
885,Female,37,74.9,95,39
886,Male,58,135.3,11,28
887,Male,66,70.5,16,46
888,Female,44,34.6,73,16
889,Female,66,85.8,78,12
890,Male,29,145.0,19,41
891,Male,24,97.0,31,29
892,Male,20,147.8,73,23
893,Male,27,128.5,53,21
894,Male,51,19.9,90,16
895,Female,42,103.9,8,48
896,Female,52,53.7,24,41
897,Female,33,90.5,8,45
898,Female,19,52.7,83,26
899,Male,41,62.1,48,37
900,Male,27,139.6,30,22
901,Male,55,42.9,58,10
902,Female,39,133.0,86,7
903,Female,43,19.1,55,9
904,Male,60,27.3,73,25
905,Male,56,130.4,62,46
906,Female,44,100.1,48,15
907,Female,46,115.9,4,13
908,Male,64,43.3,37,42
909,Male,55,87.5,8,46
910,Female,37,114.5,1,26
911,Male,44,99.7,92,21
912,Male,58,78.7,70,23
913,Male,37,144.6,47,44
914,Female,61,106.3,75,28
915,Female,36,137.5,5,38
916,Female,37,113.5,50,12
917,Female,52,114.3,24,24
918,Female,64,25.8,47,13
919,Female,19,63.5,18,40
920,Female,47,130.9,84,48
921,Male,51,46.4,28,2
922,Male,39,30.6,77,39
923,Male,20,59.0,5,12
924,Male,23,44.8,30,39
925,Male,32,139.9,1,14
926,Male,44,132.2,86,30
927,Male,27,82.5,82,41
928,Female,26,23.3,46,43
